trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.005, 'e': 0.4723665527410147}",20,4,-28.460144771429096,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.47001061473053796}",20,2,-83.84363735973699,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
153,False,"{'a': 0.005, 'e': 0.46766642700990924}",20,9,18.9164565481546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.005, 'e': 0.4653339309743134}",35,21,12.965750232682414,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.005, 'e': 0.46301306831122807}",20,8,22.272521386790373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.005, 'e': 0.4607037809989658}",20,13,4.836873315313536,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.005, 'e': 0.4584060113052235}",25,10,-33.313846925073335,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.005, 'e': 0.4561197017856392}",20,9,10.8255196514266,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.005, 'e': 0.45384479528235583}",20,4,-37.32000871916429,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
160,False,"{'a': 0.005, 'e': 0.4515812349225922}",25,11,11.491866695983044,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.005, 'e': 0.44932896411722156}",30,9,-84.45080074964811,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 1}",1
162,False,"{'a': 0.005, 'e': 0.4470879265593564}",20,10,-38.08286244123521,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.005, 'e': 0.4448580662229411}",25,5,-22.830506685831967,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.005, 'e': 0.4426393273613511}",30,16,-25.61379449214691,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.005, 'e': 0.44043165450599925}",25,0,-18.66809682679517,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.005, 'e': 0.4382349924649492}",20,0,-47.48645690872328,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.005, 'e': 0.43604928632153556}",20,9,-20.76125228819766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.005, 'e': 0.4338744814329909}",20,1,-80.41069331989269,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 2}",1
169,False,"{'a': 0.005, 'e': 0.43171052342907973}",20,0,-36.81421434015229,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
170,False,"{'a': 0.005, 'e': 0.42955735821073915}",25,7,-60.45461722688638,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
171,False,"{'a': 0.005, 'e': 0.4274149319487267}",25,11,-12.345407886891135,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.005, 'e': 0.42528319108227414}",20,10,-23.876827609805176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.005, 'e': 0.4231620823177488}",25,18,1.118750505574867,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.005, 'e': 0.4210515526273212}",25,15,-48.38157680869651,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.005, 'e': 0.418951549247639}",30,3,-93.79822413390096,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 2}",1
176,False,"{'a': 0.005, 'e': 0.4168620196785084}",20,12,3.4853305416195317,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.005, 'e': 0.4147829116815814}",20,5,-37.86866647965827,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.005, 'e': 0.4127141732790497}",25,17,5.03959421956735,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.005, 'e': 0.4106557527523455}",20,8,-22.451949329810063,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.005, 'e': 0.40860759864084845}",20,0,15.562782096567199,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.005, 'e': 0.4065696597405991}",30,16,-108.34034991056568,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
182,False,"{'a': 0.005, 'e': 0.4045418851030188}",25,5,-71.39356656457865,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
